"symbol","windowStart","windowEnd","preds_json","time","diff","crns_pred","time","diff"
"TSLA","2021-11-05T02:53:00.000000000+0000","2021-11-05T04:53:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [405.2171630859375, 399.1397399902344, 392.8941650390625, 386.7576904296875, 380.33807373046875, 373.87908935546875, 367.4832458496094, 361.0781555175781, 354.47369384765625, 348.21710205078125], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","405.2171630859375","1764938268168","1"
"TSLA","2021-11-05T03:53:00.000000000+0000","2021-11-05T05:53:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [399.90673828125, 390.20654296875, 380.5807800292969, 371.03662109375, 361.2992858886719, 351.54931640625, 341.99395751953125, 332.28009033203125, 322.2784729003906, 312.5596618652344], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","399.90673828125","1764938268168","1"
"TSLA","2021-11-05T03:51:00.000000000+0000","2021-11-05T05:51:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [397.4665222167969, 384.51123046875, 371.4329528808594, 358.6048889160156, 345.4248962402344, 332.5977783203125, 319.72869873046875, 306.820556640625, 293.5512390136719, 281.0382385253906], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","397.4665222167969","1764938268168","1"
"TSLA","2021-11-05T03:50:00.000000000+0000","2021-11-05T05:50:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [400.49432373046875, 389.92364501953125, 378.8381042480469, 367.73321533203125, 356.1681213378906, 344.1213684082031, 331.8766174316406, 319.62652587890625, 307.2142028808594, 294.9342346191406], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","400.49432373046875","1764938268168","1"
"TSLA","2021-11-05T02:42:00.000000000+0000","2021-11-05T04:42:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [403.3564758300781, 396.8023986816406, 390.0616455078125, 383.4223937988281, 376.6521301269531, 369.8037414550781, 362.94708251953125, 355.901611328125, 348.7742919921875, 341.9541931152344], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","403.3564758300781","1764938268168","1"
"TSLA","2021-11-05T03:38:00.000000000+0000","2021-11-05T05:38:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [398.68499755859375, 388.0850830078125, 377.7559814453125, 367.47271728515625, 356.8796081542969, 346.4902038574219, 336.138427734375, 325.4521179199219, 314.8807067871094, 304.49603271484375], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","398.68499755859375","1764938268168","1"
"TSLA","2021-11-05T03:25:00.000000000+0000","2021-11-05T05:25:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [404.5196838378906, 398.72149658203125, 393.05364990234375, 387.1773376464844, 381.0473327636719, 374.9335021972656, 368.78466796875, 362.3741455078125, 356.1780090332031, 349.8689880371094], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","404.5196838378906","1764938268168","1"
"TSLA","2021-11-05T02:54:00.000000000+0000","2021-11-05T04:54:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [402.3804016113281, 393.6294250488281, 385.0711975097656, 376.64532470703125, 367.8552551269531, 359.3870544433594, 350.64642333984375, 342.0425720214844, 333.4851989746094, 325.1968078613281], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","402.3804016113281","1764938268168","1"
"TSLA","2021-11-05T03:14:00.000000000+0000","2021-11-05T05:14:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [402.9973449707031, 395.3672180175781, 387.68426513671875, 379.88946533203125, 371.71112060546875, 363.47650146484375, 355.09185791015625, 346.6766662597656, 338.2751770019531, 329.7674255371094], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","402.9973449707031","1764938268168","1"
"TSLA","2021-11-05T02:50:00.000000000+0000","2021-11-05T04:50:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [399.74127197265625, 390.0856628417969, 380.5637512207031, 370.98992919921875, 361.08636474609375, 351.3080139160156, 341.40087890625, 331.25830078125, 321.27008056640625, 311.307373046875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","399.74127197265625","1764938268168","1"
